description,nom_localisation,salarie_nombre,telephone
"Traitement de données, hébergement et activités connexes","PARAGON BUSINESS PROCESS SERVICES,MARCQ-EN-BAROEUL",100 à 199 salariés,0320121212
Programmation informatique,"LOGIC@L CONSEILS,ROUBAIX",6 à 9 salariés,Modifier ces informations
Edition de logiciels applicatifs,"KEYNEOSOFT,TOURCOING",20 à 49 salariés,0362648132
Conseil en systèmes et logiciels informatiques,"IBM SERVICES CENTER FRANCE,LILLE",0 salarié,0320187430
Conseil en systèmes et logiciels informatiques,"CAPGEMINI TECHNOLOGY SERVICES,LILLE",0 salarié,https://www.fr.sogeti.com/rejoignez-nous/nos-offres-demploi/
Formation continue d'adultes,"HORTIBAT,BEAUVOIS-EN-CAMBRESIS",20 à 49 salariés,Modifier ces informations
Programmation informatique,"ANTENIA,LILLE",20 à 49 salariés,Modifier ces informations
Programmation informatique,"KPF SI,LILLE",0 salarié,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"HTEL NORD,SECLIN",0 salarié,Modifier ces informations
Activités des agences de publicité,"ADREXO,FRETIN",200 à 249 salariés,0320629999
Conseil en systèmes et logiciels informatiques,"G5K FRANCE,LILLE",20 à 49 salariés,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"BORN'ONE,MARCQ-EN-BAROEUL",10 à 19 salariés,0320207720
Recherche-développement en sciences humaines et sociales,"CNRS MOY1800 HAUTS-DE-FRANCE,LILLE",500 à 999 salariés,0320125800
Programmation informatique,"CERISE MEDIA,TOURCOING",100 à 199 salariés,0320234071
Conseil en systèmes et logiciels informatiques,"SERVENTIC,VILLENEUVE-D-ASCQ",0 salarié,Modifier ces informations
Vente à distance sur catalogue spécialisé,"DAMART,ROUBAIX",200 à 249 salariés,Modifier ces informations
Programmation informatique,"INSITACTION,LILLE",20 à 49 salariés,Modifier ces informations
Édition de jeux électroniques,"ADICTIZ,LILLE",20 à 49 salariés,0698871001
Fabrication de produits électroniques grand public,"SOC EXPLOITATION ETS NORMAND,HENIN-BEAUMONT",20 à 49 salariés,0391830070
,,,
,,,
Conseil en systèmes et logiciels informatiques,"IT-ROOM,HEM",20 à 49 salariés,0320828245
"Traitement de données, hébergement et activités connexes","PARAGON BUSINESS PROCESS SERVICES,MARCQ-EN-BAROEUL",100 à 199 salariés,0320121212
Programmation informatique,"LOGIC@L CONSEILS,ROUBAIX",6 à 9 salariés,Modifier ces informations
Edition de logiciels applicatifs,"KEYNEOSOFT,TOURCOING",20 à 49 salariés,0362648132
Conseil en systèmes et logiciels informatiques,"IBM SERVICES CENTER FRANCE,LILLE",0 salarié,0320187430
Conseil en systèmes et logiciels informatiques,"CAPGEMINI TECHNOLOGY SERVICES,LILLE",0 salarié,https://www.fr.sogeti.com/rejoignez-nous/nos-offres-demploi/
Formation continue d'adultes,"HORTIBAT,BEAUVOIS-EN-CAMBRESIS",20 à 49 salariés,Modifier ces informations
Programmation informatique,"ANTENIA,LILLE",20 à 49 salariés,Modifier ces informations
Programmation informatique,"KPF SI,LILLE",0 salarié,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"HTEL NORD,SECLIN",0 salarié,Modifier ces informations
Activités des agences de publicité,"ADREXO,FRETIN",200 à 249 salariés,0320629999
Conseil en systèmes et logiciels informatiques,"G5K FRANCE,LILLE",20 à 49 salariés,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"BORN'ONE,MARCQ-EN-BAROEUL",10 à 19 salariés,0320207720
Recherche-développement en sciences humaines et sociales,"CNRS MOY1800 HAUTS-DE-FRANCE,LILLE",500 à 999 salariés,0320125800
Programmation informatique,"CERISE MEDIA,TOURCOING",100 à 199 salariés,0320234071
Conseil en systèmes et logiciels informatiques,"SERVENTIC,VILLENEUVE-D-ASCQ",0 salarié,Modifier ces informations
Vente à distance sur catalogue spécialisé,"DAMART,ROUBAIX",200 à 249 salariés,Modifier ces informations
Programmation informatique,"INSITACTION,LILLE",20 à 49 salariés,Modifier ces informations
Édition de jeux électroniques,"ADICTIZ,LILLE",20 à 49 salariés,0698871001
Fabrication de produits électroniques grand public,"SOC EXPLOITATION ETS NORMAND,HENIN-BEAUMONT",20 à 49 salariés,0391830070
,,,
,,,
Conseil en systèmes et logiciels informatiques,"IT-ROOM,HEM",20 à 49 salariés,0320828245
"Traitement de données, hébergement et activités connexes","PARAGON BUSINESS PROCESS SERVICES,MARCQ-EN-BAROEUL",100 à 199 salariés,0320121212
Programmation informatique,"LOGIC@L CONSEILS,ROUBAIX",6 à 9 salariés,Modifier ces informations
Edition de logiciels applicatifs,"KEYNEOSOFT,TOURCOING",20 à 49 salariés,0362648132
Conseil en systèmes et logiciels informatiques,"IBM SERVICES CENTER FRANCE,LILLE",0 salarié,0320187430
Conseil en systèmes et logiciels informatiques,"CAPGEMINI TECHNOLOGY SERVICES,LILLE",0 salarié,https://www.fr.sogeti.com/rejoignez-nous/nos-offres-demploi/
Formation continue d'adultes,"HORTIBAT,BEAUVOIS-EN-CAMBRESIS",20 à 49 salariés,Modifier ces informations
Programmation informatique,"ANTENIA,LILLE",20 à 49 salariés,Modifier ces informations
Programmation informatique,"KPF SI,LILLE",0 salarié,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"HTEL NORD,SECLIN",0 salarié,Modifier ces informations
Activités des agences de publicité,"ADREXO,FRETIN",200 à 249 salariés,0320629999
Conseil en systèmes et logiciels informatiques,"G5K FRANCE,LILLE",20 à 49 salariés,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"BORN'ONE,MARCQ-EN-BAROEUL",10 à 19 salariés,0320207720
Recherche-développement en sciences humaines et sociales,"CNRS MOY1800 HAUTS-DE-FRANCE,LILLE",500 à 999 salariés,0320125800
Programmation informatique,"CERISE MEDIA,TOURCOING",100 à 199 salariés,0320234071
Conseil en systèmes et logiciels informatiques,"SERVENTIC,VILLENEUVE-D-ASCQ",0 salarié,Modifier ces informations
Vente à distance sur catalogue spécialisé,"DAMART,ROUBAIX",200 à 249 salariés,Modifier ces informations
Programmation informatique,"INSITACTION,LILLE",20 à 49 salariés,Modifier ces informations
Édition de jeux électroniques,"ADICTIZ,LILLE",20 à 49 salariés,0698871001
Fabrication de produits électroniques grand public,"SOC EXPLOITATION ETS NORMAND,HENIN-BEAUMONT",20 à 49 salariés,0391830070
,,,
,,,
Conseil en systèmes et logiciels informatiques,"IT-ROOM,HEM",20 à 49 salariés,0320828245
"Traitement de données, hébergement et activités connexes","PARAGON BUSINESS PROCESS SERVICES,MARCQ-EN-BAROEUL",100 à 199 salariés,0320121212
Programmation informatique,"LOGIC@L CONSEILS,ROUBAIX",6 à 9 salariés,Modifier ces informations
Edition de logiciels applicatifs,"KEYNEOSOFT,TOURCOING",20 à 49 salariés,0362648132
Conseil en systèmes et logiciels informatiques,"IBM SERVICES CENTER FRANCE,LILLE",0 salarié,0320187430
Conseil en systèmes et logiciels informatiques,"CAPGEMINI TECHNOLOGY SERVICES,LILLE",0 salarié,https://www.fr.sogeti.com/rejoignez-nous/nos-offres-demploi/
Formation continue d'adultes,"HORTIBAT,BEAUVOIS-EN-CAMBRESIS",20 à 49 salariés,Modifier ces informations
Programmation informatique,"ANTENIA,LILLE",20 à 49 salariés,Modifier ces informations
Programmation informatique,"KPF SI,LILLE",0 salarié,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"HTEL NORD,SECLIN",0 salarié,Modifier ces informations
Activités des agences de publicité,"ADREXO,FRETIN",200 à 249 salariés,0320629999
Conseil en systèmes et logiciels informatiques,"G5K FRANCE,LILLE",20 à 49 salariés,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"BORN'ONE,MARCQ-EN-BAROEUL",10 à 19 salariés,0320207720
Recherche-développement en sciences humaines et sociales,"CNRS MOY1800 HAUTS-DE-FRANCE,LILLE",500 à 999 salariés,0320125800
Programmation informatique,"CERISE MEDIA,TOURCOING",100 à 199 salariés,0320234071
Conseil en systèmes et logiciels informatiques,"SERVENTIC,VILLENEUVE-D-ASCQ",0 salarié,Modifier ces informations
Vente à distance sur catalogue spécialisé,"DAMART,ROUBAIX",200 à 249 salariés,Modifier ces informations
Programmation informatique,"INSITACTION,LILLE",20 à 49 salariés,Modifier ces informations
Édition de jeux électroniques,"ADICTIZ,LILLE",20 à 49 salariés,0698871001
Fabrication de produits électroniques grand public,"SOC EXPLOITATION ETS NORMAND,HENIN-BEAUMONT",20 à 49 salariés,0391830070
,,,
,,,
Conseil en systèmes et logiciels informatiques,"IT-ROOM,HEM",20 à 49 salariés,0320828245
"Traitement de données, hébergement et activités connexes","PARAGON BUSINESS PROCESS SERVICES,MARCQ-EN-BAROEUL",100 à 199 salariés,0320121212
Programmation informatique,"LOGIC@L CONSEILS,ROUBAIX",6 à 9 salariés,Modifier ces informations
Edition de logiciels applicatifs,"KEYNEOSOFT,TOURCOING",20 à 49 salariés,0362648132
Conseil en systèmes et logiciels informatiques,"IBM SERVICES CENTER FRANCE,LILLE",0 salarié,0320187430
Conseil en systèmes et logiciels informatiques,"CAPGEMINI TECHNOLOGY SERVICES,LILLE",0 salarié,https://www.fr.sogeti.com/rejoignez-nous/nos-offres-demploi/
Formation continue d'adultes,"HORTIBAT,BEAUVOIS-EN-CAMBRESIS",20 à 49 salariés,Modifier ces informations
Programmation informatique,"ANTENIA,LILLE",20 à 49 salariés,Modifier ces informations
Programmation informatique,"KPF SI,LILLE",0 salarié,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"HTEL NORD,SECLIN",0 salarié,Modifier ces informations
Activités des agences de publicité,"ADREXO,FRETIN",200 à 249 salariés,0320629999
Conseil en systèmes et logiciels informatiques,"G5K FRANCE,LILLE",20 à 49 salariés,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"BORN'ONE,MARCQ-EN-BAROEUL",10 à 19 salariés,0320207720
Recherche-développement en sciences humaines et sociales,"CNRS MOY1800 HAUTS-DE-FRANCE,LILLE",500 à 999 salariés,0320125800
Programmation informatique,"CERISE MEDIA,TOURCOING",100 à 199 salariés,0320234071
Conseil en systèmes et logiciels informatiques,"SERVENTIC,VILLENEUVE-D-ASCQ",0 salarié,Modifier ces informations
Vente à distance sur catalogue spécialisé,"DAMART,ROUBAIX",200 à 249 salariés,Modifier ces informations
Programmation informatique,"INSITACTION,LILLE",20 à 49 salariés,Modifier ces informations
Édition de jeux électroniques,"ADICTIZ,LILLE",20 à 49 salariés,0698871001
Fabrication de produits électroniques grand public,"SOC EXPLOITATION ETS NORMAND,HENIN-BEAUMONT",20 à 49 salariés,0391830070
,,,
,,,
Commerce d'électricité,"ILLYADE,WASQUEHAL",20 à 49 salariés,0664787244
Gestion d'installations informatiques,"ECONOCOM INFOGERANCE SYSTEMES,VILLENEUVE-D-ASCQ",0 salarié,Modifier ces informations
Enseignement supérieur,"ESC LILLE,LILLE",500 à 999 salariés,0320215962
Conseil en systèmes et logiciels informatiques,"CAPENSIS,WASQUEHAL",20 à 49 salariés,0359391340
Programmation informatique,"PERMETTEZ - MOI DE CONSTRUIRE,LILLE",0 salarié,https://www.permettezmoideconstruire.fr
Tierce maintenance de systèmes et d’applications informatiques,"LVB FIBRE,SAINT-ANDRE-LEZ-LILLE",1 ou 2 salariés,0682426847
Edition de logiciels outils de développement et de langages,"ANKAMA STUDIO,ROUBAIX",100 à 199 salariés,0320363000
"Ingénierie, études techniques","ABYLSEN SIGMA,LILLE",250 à 499 salariés,0328363179
Conseil en systèmes et logiciels informatiques,"AVIF,VILLENEUVE-D-ASCQ",1 ou 2 salariés,Modifier ces informations
"Commerce de gros (commerce interentreprises) d'ordinateurs, d'équipements informatiques périphériques et de logiciels","INGRAM MICRO,LESQUIN",0 salarié,0825285285
Activités des agences de publicité,"ADREXO,PROUVY",250 à 499 salariés,http://www.adrexo.fr
Programmation informatique,"SYNODIA,LA-MADELEINE",20 à 49 salariés,0320988496
Conseil en systèmes et logiciels informatiques,"DECIDEOM,MARCQ-EN-BAROEUL",50 à 99 salariés,Modifier ces informations
Tierce maintenance de systèmes et d’applications informatiques,"EID VERLINGHEM,VERLINGHEM",100 à 199 salariés,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"ELOSI,VILLENEUVE-D-ASCQ",50 à 99 salariés,Modifier ces informations
Programmation informatique,"EURISIS SA,WASQUEHAL",10 à 19 salariés,0328333328
Programmation informatique,"EYESCREAM-YOUR INTERACTIVE SHERPA,LILLE",10 à 19 salariés,Modifier ces informations
Programmation informatique,"EURATECHNOLOGIES,LILLE",6 à 9 salariés,Modifier ces informations
Programmation informatique,"ONITEQ,CROIX",0 salarié,Modifier ces informations
"Ingénierie, études techniques","ABYLSEN SIGMA,VALENCIENNES",0 salarié,Modifier ces informations
,,,
,,,
Commerce d'électricité,"ILLYADE,WASQUEHAL",20 à 49 salariés,0664787244
Gestion d'installations informatiques,"ECONOCOM INFOGERANCE SYSTEMES,VILLENEUVE-D-ASCQ",0 salarié,Modifier ces informations
Enseignement supérieur,"ESC LILLE,LILLE",500 à 999 salariés,0320215962
Conseil en systèmes et logiciels informatiques,"CAPENSIS,WASQUEHAL",20 à 49 salariés,0359391340
Programmation informatique,"PERMETTEZ - MOI DE CONSTRUIRE,LILLE",0 salarié,https://www.permettezmoideconstruire.fr
Tierce maintenance de systèmes et d’applications informatiques,"LVB FIBRE,SAINT-ANDRE-LEZ-LILLE",1 ou 2 salariés,0682426847
Edition de logiciels outils de développement et de langages,"ANKAMA STUDIO,ROUBAIX",100 à 199 salariés,0320363000
"Ingénierie, études techniques","ABYLSEN SIGMA,LILLE",250 à 499 salariés,0328363179
Conseil en systèmes et logiciels informatiques,"AVIF,VILLENEUVE-D-ASCQ",1 ou 2 salariés,Modifier ces informations
"Commerce de gros (commerce interentreprises) d'ordinateurs, d'équipements informatiques périphériques et de logiciels","INGRAM MICRO,LESQUIN",0 salarié,0825285285
Activités des agences de publicité,"ADREXO,PROUVY",250 à 499 salariés,http://www.adrexo.fr
Programmation informatique,"SYNODIA,LA-MADELEINE",20 à 49 salariés,0320988496
Conseil en systèmes et logiciels informatiques,"DECIDEOM,MARCQ-EN-BAROEUL",50 à 99 salariés,Modifier ces informations
Tierce maintenance de systèmes et d’applications informatiques,"EID VERLINGHEM,VERLINGHEM",100 à 199 salariés,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"ELOSI,VILLENEUVE-D-ASCQ",50 à 99 salariés,Modifier ces informations
Programmation informatique,"EURISIS SA,WASQUEHAL",10 à 19 salariés,0328333328
Programmation informatique,"EYESCREAM-YOUR INTERACTIVE SHERPA,LILLE",10 à 19 salariés,Modifier ces informations
Programmation informatique,"EURATECHNOLOGIES,LILLE",6 à 9 salariés,Modifier ces informations
Programmation informatique,"ONITEQ,CROIX",0 salarié,Modifier ces informations
"Ingénierie, études techniques","ABYLSEN SIGMA,VALENCIENNES",0 salarié,Modifier ces informations
,,,
,,,
Commerce d'électricité,"ILLYADE,WASQUEHAL",20 à 49 salariés,0664787244
Gestion d'installations informatiques,"ECONOCOM INFOGERANCE SYSTEMES,VILLENEUVE-D-ASCQ",0 salarié,Modifier ces informations
Enseignement supérieur,"ESC LILLE,LILLE",500 à 999 salariés,0320215962
Conseil en systèmes et logiciels informatiques,"CAPENSIS,WASQUEHAL",20 à 49 salariés,0359391340
Programmation informatique,"PERMETTEZ - MOI DE CONSTRUIRE,LILLE",0 salarié,https://www.permettezmoideconstruire.fr
Tierce maintenance de systèmes et d’applications informatiques,"LVB FIBRE,SAINT-ANDRE-LEZ-LILLE",1 ou 2 salariés,0682426847
Edition de logiciels outils de développement et de langages,"ANKAMA STUDIO,ROUBAIX",100 à 199 salariés,0320363000
"Ingénierie, études techniques","ABYLSEN SIGMA,LILLE",250 à 499 salariés,0328363179
Conseil en systèmes et logiciels informatiques,"AVIF,VILLENEUVE-D-ASCQ",1 ou 2 salariés,Modifier ces informations
"Commerce de gros (commerce interentreprises) d'ordinateurs, d'équipements informatiques périphériques et de logiciels","INGRAM MICRO,LESQUIN",0 salarié,0825285285
Activités des agences de publicité,"ADREXO,PROUVY",250 à 499 salariés,http://www.adrexo.fr
Programmation informatique,"SYNODIA,LA-MADELEINE",20 à 49 salariés,0320988496
Conseil en systèmes et logiciels informatiques,"DECIDEOM,MARCQ-EN-BAROEUL",50 à 99 salariés,Modifier ces informations
Tierce maintenance de systèmes et d’applications informatiques,"EID VERLINGHEM,VERLINGHEM",100 à 199 salariés,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"ELOSI,VILLENEUVE-D-ASCQ",50 à 99 salariés,Modifier ces informations
Programmation informatique,"EURISIS SA,WASQUEHAL",10 à 19 salariés,0328333328
Programmation informatique,"EYESCREAM-YOUR INTERACTIVE SHERPA,LILLE",10 à 19 salariés,Modifier ces informations
Programmation informatique,"EURATECHNOLOGIES,LILLE",6 à 9 salariés,Modifier ces informations
Programmation informatique,"ONITEQ,CROIX",0 salarié,Modifier ces informations
"Ingénierie, études techniques","ABYLSEN SIGMA,VALENCIENNES",0 salarié,Modifier ces informations
,,,
,,,
Commerce d'électricité,"ILLYADE,WASQUEHAL",20 à 49 salariés,0664787244
Gestion d'installations informatiques,"ECONOCOM INFOGERANCE SYSTEMES,VILLENEUVE-D-ASCQ",0 salarié,Modifier ces informations
Enseignement supérieur,"ESC LILLE,LILLE",500 à 999 salariés,0320215962
Conseil en systèmes et logiciels informatiques,"CAPENSIS,WASQUEHAL",20 à 49 salariés,0359391340
Programmation informatique,"PERMETTEZ - MOI DE CONSTRUIRE,LILLE",0 salarié,https://www.permettezmoideconstruire.fr
Tierce maintenance de systèmes et d’applications informatiques,"LVB FIBRE,SAINT-ANDRE-LEZ-LILLE",1 ou 2 salariés,0682426847
